,0
0,110358.8799
1,95062.63879
2,116768.9102
3,115892.3044
4,89161.93966
5,133841.0791
6,129470.8203
7,139259.0947
8,125982.3684
9,125377.1697
10,79038.5076
11,125469.7441
12,116361.114
13,124983.5831
14,114250.0593
15,119223.3103
16,103434.5112
17,115102.4511
18,92318.86262
19,90057.64227
20,91710.63636
21,114063.0849
22,133142.4698
23,128795.7494
24,71420.48496
25,115795.0508
26,121771.7713
27,127803.893
28,132769.8795
29,139151.1599
30,118699.1417
31,127540.598
32,139042.5465
33,120288.2645
34,126594.5501
35,79408.55137
36,114077.6132
37,123710.7839
38,130966.7806
39,97263.19149
40,85904.1967
41,116710.1789
42,126228.1141
43,87228.1733
44,100553.485
45,96857.08031
46,117272.2241
47,128393.8467
48,118864.0753
49,123356.7989
50,120673.5604
51,118645.0052
52,126755.5887
53,108513.1218
54,107565.0319
55,100116.0189
56,119350.848
57,117477.1649
58,118236.3799
59,136381.0718
60,126527.0581
61,111098.7382
62,131745.3309
63,85621.05868
64,130987.5534
65,123454.3
66,90855.28471
67,126788.0671
68,98290.90994
69,130860.6958
70,83328.90404
71,90334.72433
72,75346.37438
73,123598.5891
74,148760.3672
75,104606.7321
76,141904.457
77,111923.2247
78,107563.008
79,126910.6001
80,128640.7586
81,90950.99986
82,115181.3757
83,118241.8521
84,105471.8748
85,85641.319
86,111610.7885
87,131597.3897
88,117818.2682
89,74.01054077
90,98828.75191
91,131997.9725
92,113848.4482
93,134688.8501
94,127826.5269
95,122833.3666
96,129054.1748
97,119023.7433
98,120074.4556
99,90288.20598
100,123296.7794
101,114233.1965
102,88255.42495
103,125241.7769
104,110626.2578
105,129519.4661
106,125675.6073
107,81355.56593
108,118457.612
109,146185.9574
110,111529.4149
111,152708.2046
112,128037.3841
113,131789.2218
114,121646.8547
115,117794.6801
116,137832.2205
117,118090.7065
118,139367.8874
119,132814.1756
120,127426.3279
121,112206.86
122,111797.3437
123,134918.8248
124,126121.0515
125,133081.8684
126,132046.7859
127,126337.0878
128,128528.2606
129,111329.9606
130,121851.5292
131,117353.4116
132,119001.5419
133,113593.353
134,122056.0959
135,125552.5725
136,110666.7454
137,90865.60622
138,122679.9659
139,120232.9679
140,84847.31803
141,119540.3579
142,122847.5247
143,87308.7541
144,79166.00126
145,113866.545
146,123733.9605
147,121509.0622
148,113258.2019
149,104894.7449
150,111517.3029
151,118331.0351
152,141307.3817
153,132048.2302
154,121640.2377
155,110305.6467
156,85294.029
157,141899.2134
158,130386.0842
159,127341.113
160,114879.0501
161,123735.5419
162,137893.6184
163,151539.4241
164,135670.3561
165,122262.9365
166,119714.4192
167,110914.4055
168,119113.7345
169,102319.0678
170,132515.1033
171,129500.7589
172,143712.8973
173,84790.37758
174,135397.6877
175,135929.9113
176,130336.0055
177,126132.1242
178,113164.6213
179,86227.34642
180,123590.6585
181,122966.8321
182,114230.2362
183,114140.2335
184,94075.50187
185,112378.1032
186,112636.1363
187,81354.55646
188,134038.3216
189,116784.7038
190,115509.4552
191,106234.4478
192,83204.08361
193,114824.49
194,114419.0428
195,113150.664
196,85482.2843
197,124104.5365
198,101988.5544
199,129702.0167
200,149385.5212
201,130581.279
202,92438.18413
203,116895.9298
204,138371.4996
205,112260.125
206,118512.964
207,136420.1058
208,132586.6915
209,121219.5618
210,132716.5926
211,95556.5007
212,105050.6988
213,111689.9327
214,122887.2433
215,85442.2628
216,119514.2459
217,117486.325
218,124664.2156
219,76275.05477
220,115186.7377
221,97699.31256
222,121902.6253
223,115021.7465
224,117578.2072
225,113139.603
226,142410.7776
227,100298.4145
228,120178.7538
229,130160.6421
230,88701.27613
231,136857.1451
232,96648.61551
233,120074.4332
234,119815.8763
235,132105.265
236,124534.3552
237,114526.4577
238,89527.50689
239,91512.64238
240,95026.17233
241,90368.03675
242,81194.39825
243,77492.0291
244,129065.6525
245,120178.8402
246,96715.59533
247,122001.1235
248,121821.0746
249,81548.14323
250,109034.631
251,103659.2933
252,117318.0133
253,126900.0945
254,134651.7738
255,110334.8907
256,115161.4307
257,118563.4648
258,110835.2807
259,109586.0011
260,130757.391
261,115397.7557
262,111030.3531
263,123035.0229
264,144729.1823
265,113253.0131
266,137968.6286
267,131550.5177
268,101995.6434
269,116327.8822
270,109114.6646
271,89804.74011
272,120166.4512
273,122752.0836
274,171249.0725
275,114778.0433
276,111045.4337
277,132296.0125
278,135896.0816
279,147975.3316
280,72581.96165
281,119898.8122
282,119902.4767
283,110512.072
284,112793.3387
285,79174.2282
286,122007.9818
287,120266.4208
288,141910.3672
289,124725.2892
290,126236.6025
291,100733.6468
292,141836.6431
293,109727.3464
294,124444.0058
295,135619.7865
296,116434.0072
297,118150.7878
298,138950.3649
299,107076.0636
300,125785.3361
301,112609.5294
302,122820.0909
303,133630.5016
304,130983.8302
305,117741.8315
306,120299.0603
307,119604.9871
308,94157.22582
309,125858.4429
310,100570.9905
311,113969.7208
312,141447.7938
313,124019.4973
314,131639.9599
315,129111.1458
316,112007.3769
317,111261.3741
318,124024.6231
319,115705.3339
320,132657.6091
321,122012.291
322,115011.1653
323,78280.17188
324,112874.0273
325,117622.2125
326,140214.5942
327,116105.4666
328,98666.36136
329,105747.8898
330,120296.3738
331,110950.4644
332,110355.4603
333,94274.09852
334,125309.0112
335,90333.10863
336,122694.3056
337,124526.264
338,111036.3998
339,101653.7476
340,74054.88159
341,140519.9805
342,129294.4197
343,129486.8727
344,119219.3646
345,115917.2207
346,122946.3083
347,123234.259
348,101982.3573
349,122096.7493
350,107533.5799
351,130748.2871
352,122259.0347
353,116433.8352
354,124420.2887
355,141171.6432
356,120864.1754
357,114929.9727
358,82895.64423
359,75002.13894
360,148910.5326
361,120549.5868
362,127017.9445
363,126507.1011
364,116973.2635
365,135714.2322
366,97201.91536
367,110555.8395
368,124398.9616
369,87662.58099
370,83402.6481
371,70903.94711
372,110907.9308
373,96809.44334
374,87234.2039
375,121890.6245
376,114540.3825
377,125897.4869
378,113936.8978
379,113604.6215
380,88812.11701
381,75571.62708
382,127619.9805
383,128805.6467
384,85833.69202
385,128873.4987
386,102588.97
387,112261.3842
388,124949.0308
389,131057.4426
390,128279.407
391,80457.18317
392,118905.1654
393,92286.66236
394,114630.005
395,107725.1655
396,110479.1965
397,98743.61733
398,125938.5573
399,146528.2804
400,120971.2128
401,104808.1517
402,149831.0744
403,132220.4955
404,125153.5325
405,141198.9816
406,113652.1672
407,121199.8404
408,127468.0627
409,105785.3766
410,124037.7754
411,120574.0048
412,117723.9716
413,105174.0158
414,118806.2146
415,136489.4065
416,113777.3271
417,118295.3133
418,114361.0522
419,124322.2588
420,144725.7234
421,130278.2615
422,103914.7308
423,130561.6096
424,120529.2207
425,106740.8462
426,118260.3173
427,92422.16062
428,118627.0537
429,91142.47857
430,85212.81079
431,113799.546
432,144901.7235
433,120461.4081
434,78695.96123
435,80371.0152
436,120194.6146
437,126020.9121
438,121314.1035
439,155949.9596
440,74.01054077
441,117901.185
442,76981.41089
443,116736.8028
444,127469.2332
445,98754.04147
446,124979.4416
447,119724.393
448,118610.8884
449,126198.7426
450,70900.37701
451,115489.591
452,92845.21629
453,127969.9793
454,138839.2981
455,138905.3193
456,132301.5699
457,119893.949
458,87647.26182
459,119549.5787
460,118387.5789
461,121492.3002
462,117923.5607
463,117107.2446
464,119941.2618
465,133669.0565
466,82424.82425
467,129456.7809
468,93788.55187
469,106132.1183
470,104066.9286
471,106422.406
472,112822.4179
473,120006.8322
474,114764.8966
475,123623.6644
476,121954.0762
477,124755.2458
478,136254.3584
479,126353.3441
480,141165.9075
481,91904.29832
482,115262.6084
483,112814.7489
484,97379.09711
485,95436.59293
486,116387.6465
487,108833.5327
488,90364.88378
489,146633.4555
490,91018.33904
491,107103.7479
492,99692.04987
493,109707.2539
494,93902.81884
495,112483.2733
496,77254.17093
497,120095.9613
498,145944.7944
499,139251.9867
500,123896.2065
501,87282.60505
502,114415.9586
503,126692.1462
504,132930.465
505,122043.4567
506,92880.21719
507,113697.5165
508,115465.999
509,123432.0327
510,84218.84638
511,119405.9721
512,137040.2493
513,125477.7882
514,131477.4009
515,103492.2139
516,131376.2321
517,87729.30774
518,79430.34411
519,114752.6249
520,150630.0937
521,131145.8181
522,119967.5188
523,87039.61377
524,106393.7813
525,113396.6631
526,107230.1351
527,113109.47
528,100024.0793
529,133395.7437
530,130857.0255
531,77191.20065
532,96342.05015
533,129892.5396
534,118693.1584
535,125897.5211
536,130343.2577
537,96376.61114
538,135567.8265
539,125174.8101
540,117642.363
541,88854.60988
542,125119.624
543,107657.6458
544,100561.6953
545,117640.0162
546,104643.369
547,131006.453
548,126050.0847
549,113601.4609
550,115622.9646
551,121478.4174
552,116242.5911
553,97183.69872
554,141141.3638
555,109931.9016
556,116349.4346
557,96606.89102
558,122210.5939
559,141329.0513
560,112948.807
561,120300.7787
562,129429.9131
563,86363.99132
564,113926.5253
565,76304.30452
566,82479.15123
567,125116.0178
568,107249.3491
569,124353.3193
570,116150.7737
571,123279.4724
572,117493.5122
573,109003.1162
574,166521.8801
575,117129.619
576,123575.4505
577,132451.8125
578,110743.5816
579,123215.6952
580,77705.24394
581,116687.7166
582,113380.6889
583,114714.7415
584,87963.43659
585,123803.6967
586,73608.96936
587,135408.2041
588,131434.0619
589,87908.00613
590,118234.8185
591,90332.49109
592,115771.3299
593,104499.1671
